Rank,Title,Release Date,Distributor,Genre,Gross,Tickets Sold,highest_grossing_year
47,The Happening,6/13/2008,20th Century Fox,Thriller/Suspense,64506874,8984244,2008
48,Alvin and the Chipmunks,12/14/2007,20th Century Fox,Adventure,63694531,8871105,2008
49,Forgetting Sarah Marshall,4/18/2008,Universal,Comedy,63172463,8798393,2008
50,Valkyrie,12/25/2008,United Artists,Thriller/Suspense,60733921,8458763,2008
51,Baby Mama,4/25/2008,Universal,Comedy,60494212,8425378,2008
52,Burn After Reading,9/12/2008,Focus Features,Black Comedy,60355347,8406037,2008
53,Seven Pounds,12/19/2008,Sony Pictures,Drama,60147298,8377061,2008
54,Step Up 2 the Streets,2/14/2008,Walt Disney,Drama,58017783,8080471,2008
55,Saw V,10/24/2008,Lionsgate,Horror,56746769,7903450,2008
56,The Strangers,5/30/2008,Focus Features,Thriller/Suspense,52597610,7325572,2008
57,The Forbidden Kingdom,4/18/2008,Lionsgate,Action,52075270,7252823,2008
58,I am Legend,12/14/2007,Warner Bros.,Horror,50263436,7000479,2008
59,National Treasure: Book of Secrets,12/21/2007,Walt Disney,Adventure,49090706,6837145,2008
60,The House Bunny,8/22/2008,Sony Pictures,Comedy,48237389,6718299,2008
61,Nim's Island,4/4/2008,20th Century Fox,Adventure,48006762,6686179,2008
62,Australia,11/26/2008,20th Century Fox,Drama,46686713,6502328,2008
63,Made of Honor,5/2/2008,Sony Pictures,Romantic Comedy,46012734,6408458,2008
64,College Road Trip,3/7/2008,Walt Disney,Adventure,45610425,6352427,2008
65,The Sisterhood of the Traveling Pants 2,8/6/2008,Warner Bros.,Adventure,44089964,6140664,2008
66,Speed Racer,5/9/2008,Warner Bros.,Action,43945766,6120580,2008
67,Prom Night,4/11/2008,Sony Pictures,Horror,43869350,6109937,2008
68,The Tale of Despereaux,12/19/2008,Universal,Adventure,43661775,6081027,2008
69,Rambo,1/25/2008,Lionsgate,Action,42754105,5954611,2008
70,Welcome Home Roscoe Jenkins,2/8/2008,Universal,Comedy,42436517,5910378,2008
71,Meet the Browns,3/21/2008,Lionsgate,Comedy,41975388,5846154,2008
72,Nights in Rodanthe,9/26/2008,Warner Bros.,Drama,41802381,5822059,2008
73,Max Payne,10/17/2008,20th Century Fox,Action,40677229,5665352,2008
74,Righteous Kill,9/12/2008,Overture Films,Thriller/Suspense,40081410,5582369,2008
75,There Will Be Blood,12/26/2007,Paramount Vantage,Drama,39795491,5542547,2008
76,Body of Lies,10/10/2008,Warner Bros.,Thriller/Suspense,39315385,5475680,2008
77,Lakeview Terrace,9/19/2008,Sony Pictures,Thriller/Suspense,39263506,5468454,2008
78,Meet the Spartans,1/25/2008,20th Century Fox,Comedy,38233676,5325025,2008
79,Harold & Kumar Escape from Guantanamo Bay,4/25/2008,Warner Bros.,Comedy,38108728,5307622,2008
80,First Sunday,1/11/2008,Sony Pictures,Comedy,37931869,5282990,2008
81,The Secret Life of Bees,10/17/2008,Fox Searchlight,Drama,37525311,5226366,2008
82,The Family That Preys,9/12/2008,Lionsgate,Comedy,37105289,5167868,2008
83,Death Race,8/22/2008,Universal,Action,36316032,5057943,2008
84,Changeling,10/24/2008,Universal,Thriller/Suspense,35707327,4973165,2008
85,Star Wars: The Clone Wars,8/15/2008,Warner Bros.,Adventure,35161554,4897152,2008
86,Semi-Pro,2/29/2008,New Line,Comedy,33479698,4662911,2008
87,Fireproof,9/26/2008,Samuel Goldwyn Films,Drama,33256544,4631830,2008
88,Drillbit Taylor,3/21/2008,Paramount Pictures,Comedy,32862104,4576895,2008
89,"Definitely, Maybe",2/14/2008,Universal,Romantic Comedy,32241649,4490480,2008
90,The Love Guru,6/20/2008,Paramount Pictures,Comedy,32235793,4489665,2008
91,Atonement,12/7/2007,Focus Features,Drama,31824552,4432388,2008
92,Transporter 3,11/26/2008,Lionsgate,Action,31715062,4417140,2008
93,Quarantine,10/10/2008,Sony Pictures,Horror,31691811,4413901,2008
94,Nick and Norah's Infinite Playlist,10/3/2008,Sony Pictures,Drama,31487293,4385416,2008
95,The Eye,2/1/2008,Lionsgate,Thriller/Suspense,31418697,4375863,2008
96,Leatherheads,4/4/2008,Universal,Romantic Comedy,31373938,4369629,2008
97,Zack and Miri Make a Porno,10/31/2008,Weinstein Co.,Comedy,31300810,4359444,2008
98,Mirrors,8/15/2008,20th Century Fox,Horror,30691439,4274574,2008
99,Space Chimps,7/18/2008,20th Century Fox,Adventure,30105968,4193032,2008
100,The Bank Job,3/7/2008,Lionsgate,Thriller/Suspense,30060660,4186721,2008
1,Transformers: Revenge of the Fallen,6/24/2009,Paramount Pictures,Action,402111870,53614916,2009
2,Avatar,12/18/2009,20th Century Fox,Action,352114898,46948653,2009
3,Harry Potter and the Half-Blood Prince,7/15/2009,Warner Bros.,Adventure,301959197,40261226,2009
4,Up,5/29/2009,Walt Disney,Adventure,293004164,39067222,2009
5,The Twilight Saga: New Moon,11/20/2009,Summit Entertainment,Drama,287954655,38393954,2009
6,The Hangover,6/5/2009,Warner Bros.,Comedy,277322503,36976334,2009
7,Star Trek,5/8/2009,Paramount Pictures,Adventure,257730019,34364003,2009
8,The Blind Side,11/20/2009,Warner Bros.,Drama,208476067,27796809,2009
9,Monsters vs. Aliens,3/27/2009,Paramount Pictures,Adventure,198351526,26446870,2009
10,Ice Age: Dawn of the Dinosaurs,7/1/2009,20th Century Fox,Adventure,196573705,26209827,2009
11,X-Men Origins: Wolverine,5/1/2009,20th Century Fox,Action,179883157,23984421,2009
12,Night at the Museum: Battle of the Smithsonian,5/22/2009,20th Century Fox,Adventure,177243721,23632496,2009
13,The Proposal,6/19/2009,Walt Disney,Romantic Comedy,163958031,21861071,2009
14,2012,11/13/2009,Sony Pictures,Action,163442129,21792284,2009
15,Alvin and the Chipmunks: The Squeakquel,12/23/2009,20th Century Fox,Adventure,155916935,20788925,2009
16,Fast & Furious,4/3/2009,Universal,Action,155064265,20675235,2009
17,G.I. Joe: The Rise of Cobra,8/7/2009,Paramount Pictures,Action,150201498,20026866,2009
18,Paul Blart: Mall Cop,1/16/2009,Sony Pictures,Adventure,146336178,19511490,2009
19,Taken,1/30/2009,20th Century Fox,Thriller/Suspense,145000989,19333465,2009
20,Sherlock Holmes,12/25/2009,Warner Bros.,Adventure,138715437,18495392,2009
21,Gran Torino,1/9/2009,Warner Bros.,Drama,138274748,18436633,2009
22,A Christmas Carol,11/6/2009,Walt Disney,Drama,137443917,18325856,2009
23,Angels & Demons,5/15/2009,Sony Pictures,Thriller/Suspense,133375846,17783446,2009
24,Terminator Salvation,5/21/2009,Warner Bros.,Action,125322469,16709663,2009
25,Cloudy with a Chance of Meatballs,9/18/2009,Sony Pictures,Adventure,124264907,16568654,2009
26,Inglourious Basterds,8/21/2009,Weinstein Co.,Action,120774594,16103279,2009
27,G-Force,7/24/2009,Walt Disney,Adventure,119436770,15924903,2009
28,District 9,8/14/2009,Sony Pictures,Thriller/Suspense,115646235,15419498,2009
29,Slumdog Millionaire,11/12/2008,Fox Searchlight,Drama,112654105,15020547,2009
30,Couples Retreat,10/9/2009,Universal,Comedy,108511760,14468234,2009
31,Paranormal Activity,9/25/2009,Paramount Pictures,Horror,107854596,14380613,2009
32,Watchmen,3/6/2009,Warner Bros.,Action,107509799,14334640,2009
33,Public Enemies,7/1/2009,Universal,Drama,97104620,12947282,2009
34,Julie & Julia,8/7/2009,Sony Pictures,Comedy,94125426,12550056,2009
35,He's Just Not That Into You,2/6/2009,Warner Bros.,Romantic Comedy,93953653,12527154,2009
36,Madea Goes To Jail,2/20/2009,Lionsgate,Comedy,90508336,12067778,2009
37,The Ugly Truth,7/24/2009,Sony Pictures,Romantic Comedy,88915214,11855361,2009
38,The Princess and the Frog,12/11/2009,Walt Disney,Adventure,85859339,11447912,2009
39,Knowing,3/20/2009,Summit Entertainment,Thriller/Suspense,79957634,10661017,2009
40,Hannah Montana the Movie,4/10/2009,Walt Disney,Drama,79576189,10610159,2009
41,Where the Wild Things Are,10/16/2009,Warner Bros.,Adventure,76566491,10208865,2009
42,Zombieland,10/2/2009,Sony Pictures,Comedy,75590286,10078704,2009
43,Coraline,2/6/2009,Focus Features,Adventure,75286229,10038163,2009
44,Hotel for Dogs,1/16/2009,Paramount Pictures,Adventure,73178547,9757140,2009
45,Law Abiding Citizen,10/16/2009,Overture Films,Thriller/Suspense,72928813,9723841,2009
46,This Is It,10/28/2009,Sony Pictures,Documentary,72091016,9612135,2009
47,"I Love You, Man",3/20/2009,Paramount Pictures,Comedy,72013010,9601735,2009
48,Obsessed,4/24/2009,Sony Pictures,Thriller/Suspense,68261644,9101552,2009
49,Race to Witch Mountain,3/13/2009,Walt Disney,Adventure,67172594,8956346,2009
50,The Final Destination,8/28/2009,Warner Bros.,Horror,66477700,8863693,2009
51,The Taking of Pelham 123,6/12/2009,Sony Pictures,Action,65452312,8726974,2009
52,Friday the 13th,2/13/2009,Warner Bros.,Horror,65002019,8666936,2009
53,17 Again,4/17/2009,Warner Bros.,Comedy,64167069,8555609,2009
54,The Time Traveler's Wife,8/14/2009,Warner Bros.,Drama,63414846,8455313,2009
55,BrÃ¼no,7/10/2009,Universal,Comedy,60054530,8007270,2009
56,It's Complicated,12/25/2009,Universal,Romantic Comedy,59178840,7890512,2009
57,Bride Wars,1/9/2009,20th Century Fox,Comedy,58715510,7828735,2009
58,The Haunting in Connecticut,3/27/2009,Lionsgate,Horror,55389516,7385269,2009
59,Ghosts of Girlfriends Past,5/1/2009,Warner Bros.,Romantic Comedy,55250026,7366670,2009
60,Funny People,7/31/2009,Universal,Comedy,51855045,6914006,2009
61,I Can Do Bad All By Myself,9/11/2009,Lionsgate,Comedy,51733921,6897856,2009
62,My Bloody Valentine,1/16/2009,Lionsgate,Horror,51545952,6872793,2009
63,Land of the Lost,6/5/2009,Universal,Comedy,49438370,6591782,2009
64,My Sister's Keeper,6/26/2009,Warner Bros.,Drama,49200230,6560031,2009
65,The Curious Case of Benjamin Button,12/25/2008,Paramount Pictures,Drama,48212240,6428299,2009
66,Old Dogs,11/25/2009,Walt Disney,Comedy,47239575,6298610,2009
67,Underworld: Rise of the Lycans,1/23/2009,Sony Pictures,Action,45802315,6106975,2009
68,Up in the Air,12/4/2009,Paramount Pictures,Drama,44375265,5916702,2009
69,Confessions of a Shopaholic,2/13/2009,Walt Disney,Romantic Comedy,44277350,5903647,2009
70,Precious,11/6/2009,Lionsgate,Drama,43760123,5834683,2009
71,Year One,6/19/2009,Sony Pictures,Comedy,43337279,5778303,2009
72,The Unborn,1/9/2009,Universal,Horror,42670410,5689388,2009
73,Drag Me To Hell,5/29/2009,Universal,Horror,42100625,5613416,2009
74,Orphan,7/24/2009,Warner Bros.,Drama,41596251,5546167,2009
75,Duplicity,3/20/2009,Universal,Thriller/Suspense,40572825,5409710,2009
76,Planet 51,11/20/2009,Sony Pictures,Adventure,39570569,5276075,2009
77,Surrogates,9/25/2009,Walt Disney,Action,38577772,5143703,2009
78,Ninja Assassin,11/25/2009,Warner Bros.,Action,37492774,4999037,2009
79,State of Play,4/17/2009,Universal,Thriller/Suspense,37017955,4935727,2009
80,Notorious,1/16/2009,Fox Searchlight,Drama,36843682,4912491,2009
81,Marley & Me,12/25/2008,20th Century Fox,Comedy,36489705,4865294,2009
82,The Pink Panther 2,2/6/2009,Sony Pictures,Adventure,35922978,4789730,2009
83,All About Steve,9/4/2009,20th Century Fox,Romantic Comedy,33862903,4515054,2009
84,Halloween II,8/28/2009,Weinstein/Dimension,Horror,33392973,4452396,2009
85,The Informant,9/18/2009,Warner Bros.,Thriller/Suspense,33316821,4442243,2009
86,The Last House on the Left,3/13/2009,Universal,Horror,32752215,4366962,2009
87,(500) Days of Summer,8/7/2009,Fox Searchlight,Romantic Comedy,32425665,4323422,2009
88,The Men Who Stare at Goats,11/6/2009,Overture Films,Black Comedy,32018431,4269124,2009
89,earth,4/22/2009,Walt Disney,Documentary,32011576,4268210,2009
90,The Soloist,4/24/2009,Paramount Pictures,Drama,31853584,4247145,2009
91,Push,2/6/2009,Summit Entertainment,Thriller/Suspense,31811527,4241536,2009
92,9,9/9/2009,Focus Features,Adventure,31749894,4233319,2009
93,Toy Story 3D Double Feature,10/2/2009,Walt Disney,Adventure,30702446,4093659,2009
94,The Reader,12/10/2008,Weinstein Co.,Drama,30640829,4085443,2009
95,Invictus,12/11/2009,Warner Bros.,Drama,30586445,4078193,2009
96,The Stepfather,10/16/2009,Sony Pictures,Thriller/Suspense,29062561,3875008,2009
97,The Uninvited,1/30/2009,Paramount Pictures,Horror,28596818,3812909,2009
98,Defiance,1/16/2009,Paramount Vantage,Drama,28444199,3792560,2009
99,Saw VI,10/23/2009,Lionsgate,Horror,27693292,3692439,2009
100,Brothers,12/4/2009,Lionsgate,Drama,27414913,3655321,2009
1,Toy Story 3,6/18/2010,Walt Disney,Adventure,415004880,52598844,2010
2,Avatar,12/18/2009,20th Century Fox,Action,408392727,51760802,2010
3,Alice in Wonderland,3/5/2010,Walt Disney,Adventure,334191110,42356287,2010
4,Iron Man 2,5/7/2010,Paramount Pictures,Action,312433331,39598648,2010
5,The Twilight Saga: Eclipse,6/30/2010,Summit Entertainment,Drama,300531751,38090209,2010
6,Inception,7/16/2010,Warner Bros.,Thriller/Suspense,292568851,37080970,2010
7,Harry Potter and the Deathly Hallows: Part 1,11/19/2010,Warner Bros.,Adventure,283533215,35935769,2010
8,Despicable Me,7/9/2010,Universal,Adventure,251203225,31838178,2010
9,Shrek Forever After,5/21/2010,Paramount Pictures,Adventure,238736787,30258148,2010
10,How to Train Your Dragon,3/26/2010,Paramount Pictures,Adventure,217581231,27576835,2010
11,The Karate Kid,6/11/2010,Sony Pictures,Adventure,176591618,22381701,2010
12,Tangled,11/24/2010,Walt Disney,Musical,167821986,21270213,2010
13,Clash of the Titans,4/1/2010,Warner Bros.,Action,163214888,20686298,2010
14,Grown Ups,6/25/2010,Sony Pictures,Comedy,162001186,20532470,2010
15,MegaMind,11/5/2010,Paramount Pictures,Adventure,144192018,18275287,2010
16,The Last Airbender,7/1/2010,Paramount Pictures,Adventure,131772187,16701164,2010
17,Tron: Legacy,12/17/2010,Walt Disney,Adventure,131304844,16641932,2010
18,Shutter Island,2/19/2010,Paramount Pictures,Thriller/Suspense,128012934,16224706,2010
19,The Other Guys,8/6/2010,Sony Pictures,Comedy,119219978,15110263,2010
20,Salt,7/23/2010,Sony Pictures,Thriller/Suspense,118311368,14995104,2010
21,Jackass 3D,10/15/2010,Paramount Pictures,Comedy,117109417,14842765,2010
22,Valentine's Day,2/12/2010,Warner Bros.,Romantic Comedy,110485654,14003251,2010
23,Robin Hood,5/14/2010,Universal,Action,105487148,13369727,2010
24,The Expendables,8/13/2010,Lionsgate,Action,103068524,13063184,2010
25,Little Fockers,12/22/2010,Universal,Comedy,102576190,13000785,2010
26,Due Date,11/5/2010,Warner Bros.,Comedy,99231922,12576923,2010
27,Date Night,4/9/2010,20th Century Fox,Comedy,98711404,12510951,2010
28,Sex and the City 2,5/27/2010,Warner Bros.,Comedy,95347692,12084625,2010
29,The Book of Eli,1/15/2010,Warner Bros.,Action,94835059,12019653,2010
30,The Social Network,10/1/2010,Sony Pictures,Drama,93222026,11815212,2010
31,The Town,9/17/2010,Warner Bros.,Drama,92173235,11682286,2010
32,Prince of Persia: The Sands of Time,5/28/2010,Walt Disney,Action,90759676,11503127,2010
33,Red,10/15/2010,Summit Entertainment,Action,89505187,11344130,2010
34,Percy Jackson & the Olympians: The Lightning Thief,2/12/2010,20th Century Fox,Adventure,88768303,11250735,2010
35,The Chronicles of Narnia: The Voyage of the Dawn Treader,12/10/2010,20th Century Fox,Adventure,86926397,11017287,2010
36,True Grit,12/22/2010,Paramount Pictures,Western,86670382,10984839,2010
37,Paranormal Activity 2,10/22/2010,Paramount Pictures,Horror,84660648,10730120,2010
38,Eat Pray Love,8/13/2010,Sony Pictures,Drama,80574010,10212169,2010
39,Dear John,2/5/2010,Sony Pictures,Drama,80014842,10141298,2010
40,Unstoppable,11/12/2010,20th Century Fox,Action,79468486,10072051,2010
41,The A-Team,6/11/2010,20th Century Fox,Action,77222099,9787338,2010
42,Knight and Day,6/23/2010,20th Century Fox,Action,76423035,9686063,2010
43,Dinner for Schmucks,7/30/2010,Paramount Pictures,Comedy,73026337,9255556,2010
44,Sherlock Holmes,12/25/2009,Warner Bros.,Adventure,70313242,8911691,2010
45,The Bounty Hunter,3/19/2010,Sony Pictures,Romantic Comedy,67061228,8499522,2010
46,Yogi Bear,12/17/2010,Warner Bros.,Adventure,65755336,8334010,2010
47,Diary of a Wimpy Kid,3/19/2010,20th Century Fox,Adventure,64003625,8111993,2010
48,Alvin and the Chipmunks: The Squeakquel,12/23/2009,20th Century Fox,Adventure,63697677,8073216,2010
49,The Sorcerer's Apprentice,7/14/2010,Walt Disney,Adventure,63150991,8003927,2010
50,A Nightmare on Elm Street,4/30/2010,Warner Bros.,Horror,63075011,7994298,2010
51,The Last Song,3/31/2010,Walt Disney,Drama,62950384,7978502,2010
52,The Wolf Man,2/12/2010,Universal,Horror,62189884,7882115,2010
53,Get Him to the Greek,6/4/2010,Universal,Comedy,61153526,7750764,2010
54,Resident Evil: Afterlife,9/10/2010,Sony Pictures,Horror,60128566,7620857,2010
55,Why Did I Get Married Too?,4/2/2010,Lionsgate,Drama,60095852,7616711,2010
56,The Tooth Fairy,1/22/2010,20th Century Fox,Adventure,60022256,7607384,2010
57,Secretariat,10/8/2010,Walt Disney,Drama,59053682,7484623,2010
58,Easy A,9/17/2010,Sony Pictures,Comedy,58401464,7401960,2010
59,Takers,8/27/2010,Sony Pictures,Drama,57744720,7318722,2010
60,Legend of the Guardians: The Owls of Ga'Hoole,9/24/2010,Warner Bros.,Adventure,55549823,7040535,2010
61,The Tourist,12/10/2010,Sony Pictures,Thriller/Suspense,54633191,6924359,2010
62,It's Complicated,12/25/2009,Universal,Romantic Comedy,53556535,6787901,2010
63,Letters to Juliet,5/14/2010,Summit Entertainment,Drama,53032453,6721477,2010
64,Life as We Know It,10/8/2010,Warner Bros.,Romantic Comedy,52886508,6702979,2010
65,Wall Street: Money Never Sleeps,9/24/2010,20th Century Fox,Drama,52474616,6650775,2010
66,Predators,7/9/2010,20th Century Fox,Action,52000688,6590708,2010
67,Hot Tub Time Machine,3/26/2010,MGM,Comedy,50269859,6371338,2010
68,Kick-Ass,4/16/2010,Lionsgate,Black Comedy,48071303,6092687,2010
69,Black Swan,12/3/2010,Fox Searchlight,Thriller/Suspense,47807791,6059289,2010
70,The Blind Side,11/20/2009,Warner Bros.,Drama,47483408,6018176,2010
71,Killers,6/4/2010,Lionsgate,Action,47059963,5964507,2010
72,The Fighter,12/10/2010,Paramount Pictures,Drama,46388853,5879449,2010
73,Saw: The Final Chapter,10/29/2010,Lionsgate,Horror,45710178,5793431,2010
74,Cop Out,2/26/2010,Warner Bros.,Comedy,44875481,5687640,2010
75,The Lovely Bones,12/11/2009,Paramount Pictures,Drama,43731131,5542602,2010
76,Cats & Dogs: The Revenge of Kitty Galore,7/30/2010,Warner Bros.,Adventure,43585753,5524177,2010
77,Edge of Darkness,1/29/2010,Warner Bros.,Drama,43313890,5489720,2010
78,Death at a Funeral,4/16/2010,Sony Pictures,Comedy,42739347,5416901,2010
79,Step Up 3D,8/6/2010,Walt Disney,Drama,42400223,5373919,2010
80,The Last Exorcism,8/27/2010,Lionsgate,Horror,41034350,5200804,2010
81,Legion,1/22/2010,Sony Pictures,Thriller/Suspense,40168080,5091011,2010
82,Up in the Air,12/4/2009,Paramount Pictures,Drama,39448116,4999761,2010
83,The Crazies,2/26/2010,Overture Films,Horror,39123589,4958630,2010
84,Crazy Heart,12/16/2009,Fox Searchlight,Drama,38769554,4913758,2010
85,Burlesque,11/24/2010,Sony Pictures,Drama,37733561,4782454,2010
86,For Colored Girls,11/5/2010,Lionsgate,Drama,37676774,4775256,2010
87,The Back-up Plan,4/23/2010,CBS Films,Romantic Comedy,37490007,4751585,2010
88,Vampires Suck,8/18/2010,20th Century Fox,Comedy,36661504,4646578,2010
89,The American,9/1/2010,Focus Features,Thriller/Suspense,35606376,4512848,2010
90,Green Zone,3/12/2010,Universal,Drama,35497337,4499029,2010
91,Devil,9/17/2010,Universal,Horror,33679655,4268651,2010
92,Marmaduke,6/4/2010,20th Century Fox,Adventure,33644788,4264232,2010
93,Hereafter,10/22/2010,Warner Bros.,Thriller/Suspense,32712586,4146082,2010
94,When in Rome,1/29/2010,Walt Disney,Romantic Comedy,32680633,4142032,2010
95,She's Out of My League,3/12/2010,Paramount Pictures,Romantic Comedy,32010860,4057143,2010
96,Scott Pilgrim vs. The World,8/13/2010,Universal,Comedy,31611316,4006504,2010
97,Love & Other Drugs,11/24/2010,20th Century Fox,Drama,31267088,3962876,2010
98,Charlie St. Cloud,7/30/2010,Universal,Drama,31206263,3955166,2010
99,Morning Glory,11/10/2010,Paramount Pictures,Comedy,30759976,3898603,2010
100,Daybreakers,1/8/2010,Lionsgate,Horror,30101577,3815155,2010
1,Harry Potter and the Deathly Hallows: Part 2,7/15/2011,Warner Bros.,Adventure,381011219,48046812,2011
2,Transformers: Dark of the Moon,6/29/2011,Paramount Pictures,Action,352390543,44437647,2011
3,"The Twilight Saga: Breaking Dawn, Part 1",11/18/2011,Summit Entertainment,Drama,275530738,34745364,2011
4,The Hangover Part II,5/26/2011,Warner Bros.,Comedy,254464305,32088815,2011
5,Pirates of the Caribbean: On Stranger Tides,5/20/2011,Walt Disney,Adventure,241063875,30398975,2011
6,Fast Five,4/29/2011,Universal,Action,210031325,26485665,2011
7,Cars 2,6/24/2011,Walt Disney,Adventure,191450875,24142607,2011
8,Thor,5/6/2011,Paramount Pictures,Action,181030624,22828578,2011
9,Rise of the Planet of the Apes,8/5/2011,20th Century Fox,Adventure,176760185,22290061,2011
10,Captain America: The First Avenger,7/22/2011,Paramount Pictures,Action,176654505,22276735,2011
11,The Help,8/10/2011,Walt Disney,Drama,169499546,21374469,2011
12,Bridesmaids,5/13/2011,Universal,Comedy,169211718,21338174,2011
13,Kung Fu Panda 2,5/26/2011,Paramount Pictures,Adventure,165249063,20838469,2011
14,X-Men: First Class,6/3/2011,20th Century Fox,Action,146408305,18462586,2011
15,Puss in Boots,10/28/2011,Paramount Pictures,Adventure,145738327,18378099,2011
16,Rio,4/15/2011,20th Century Fox,Adventure,143619809,18110947,2011
17,The Smurfs,7/29/2011,Sony Pictures,Adventure,142614158,17984130,2011
18,Mission: Impossible - Ghost Protocol,12/21/2011,Paramount Pictures,Action,141186646,17804117,2011
19,Sherlock Holmes: A Game of Shadows,12/16/2011,Warner Bros.,Action,136910219,17264845,2011
20,Super 8,6/10/2011,Paramount Pictures,Thriller/Suspense,127004179,16015659,2011
21,Rango,3/4/2011,Paramount Pictures,Adventure,123477607,15570947,2011
22,Horrible Bosses,7/8/2011,Warner Bros.,Comedy,117538559,14822012,2011
23,Green Lantern,6/17/2011,Warner Bros.,Action,116601172,14703805,2011
24,The King's Speech,11/26/2010,Weinstein Co.,Drama,115865048,14610977,2011
25,Hop,4/1/2011,Universal,Adventure,108085305,13629925,2011
26,Paranormal Activity 3,10/21/2011,Paramount Pictures,Horror,104007828,13115741,2011
27,Just Go With It,2/11/2011,Sony Pictures,Romantic Comedy,103028109,12992195,2011
28,Cowboys & Aliens,7/29/2011,Universal,Action,100368560,12656817,2011
29,Bad Teacher,6/24/2011,Sony Pictures,Comedy,100292856,12647270,2011
30,Gnomeo & Juliet,2/11/2011,Walt Disney,Comedy,99967670,12606263,2011
31,The Green Hornet,1/14/2011,Sony Pictures,Action,98780042,12456499,2011
32,Alvin and the Chipmunks: Chipwrecked,12/16/2011,20th Century Fox,Adventure,97848114,12338980,2011
33,The Lion King,6/15/1994,Walt Disney,Adventure,94233351,11883146,2011
34,True Grit,12/22/2010,Paramount Pictures,Western,84572623,10664896,2011
35,Real Steel,10/7/2011,Walt Disney,Action,84493241,10654885,2011
36,"Crazy, Stupid, Love",7/29/2011,Warner Bros.,Comedy,84351197,10636973,2011
37,Battle: Los Angeles,3/11/2011,Sony Pictures,Action,83552429,10536245,2011
38,Immortals,11/11/2011,Relativity,Action,82656999,10423329,2011
39,The Muppets ,11/23/2011,Walt Disney,Adventure,82529452,10407244,2011
40,Zookeeper,7/8/2011,Sony Pictures,Romantic Comedy,80360866,10133778,2011
41,Limitless,3/18/2011,Relativity,Thriller/Suspense,79249455,9993626,2011
42,Tower Heist,11/4/2011,Universal,Comedy,76802225,9685022,2011
43,Contagion,9/9/2011,Warner Bros.,Thriller/Suspense,75658097,9540744,2011
44,Moneyball,9/23/2011,Sony Pictures,Drama,74961642,9452918,2011
45,Justin Bieber: Never Say Never,2/11/2011,Paramount Pictures,Concert/Perfor…,73013910,9207303,2011
46,Dolphin Tale,9/23/2011,Warner Bros.,Drama,72015969,9081459,2011
47,Jack and Jill,11/11/2011,Sony Pictures,Comedy,71697648,9041317,2011
48,No Strings Attached,1/21/2011,Paramount Pictures,Romantic Comedy,70662220,8910747,2011
49,Mr. Popper's Penguins,6/17/2011,20th Century Fox,Adventure,68224452,8603336,2011
50,Unknown,2/18/2011,Warner Bros.,Thriller/Suspense,63686397,8031072,2011
51,The Adjustment Bureau,3/4/2011,Universal,Thriller/Suspense,62495645,7880914,2011
52,Happy Feet Two,11/18/2011,Warner Bros.,Adventure,60965866,7688003,2011
53,Black Swan,12/3/2010,Fox Searchlight,Thriller/Suspense,59146887,7458624,2011
54,Water for Elephants,4/22/2011,20th Century Fox,Drama,58709717,7403495,2011
55,The Lincoln Lawyer,3/18/2011,Lionsgate,Thriller/Suspense,58009200,7315157,2011
56,Midnight in Paris,5/20/2011,Sony Pictures Cla…,Romantic Comedy,56377732,7109423,2011
57,Friends with Benefits,7/22/2011,Sony Pictures,Romantic Comedy,55802754,7036917,2011
58,The Girl with the Dragon Tattoo,12/20/2011,Sony Pictures,Thriller/Suspense,55584881,7009442,2011
59,I am Number Four,2/18/2011,Walt Disney,Adventure,55100437,6948352,2011
60,Source Code,4/1/2011,Summit Entertainment,Thriller/Suspense,54712227,6899398,2011
61,Insidious ,4/1/2011,FilmDistrict,Horror,54009150,6810737,2011
62,Madea's Big Happy Family,4/22/2011,Lionsgate,Drama,53345287,6727022,2011
63,Diary of a Wimpy Kid: Rodrick Rules,3/25/2011,20th Century Fox,Adventure,52698535,6645465,2011
64,Footloose,10/14/2011,Paramount Pictures,Musical,51670512,6515827,2011
65,The Adventures of Tintin,12/21/2011,Paramount Pictures,Adventure,51400450,6481772,2011
66,Hugo,11/23/2011,Paramount Pictures,Adventure,50313495,6344703,2011
67,The Dilemma,1/14/2011,Universal,Comedy,48475290,6112899,2011
68,New Year's Eve,12/9/2011,Warner Bros.,Romantic Comedy,47257823,5959372,2011
69,The Fighter,12/10/2010,Paramount Pictures,Drama,47228156,5955631,2011
70,Little Fockers,12/22/2010,Universal,Comedy,45862410,5783406,2011
71,Arthur Christmas,11/23/2011,Sony Pictures,Adventure,45820235,5778087,2011
72,Hall Pass,2/25/2011,Warner Bros.,Comedy,45060734,5682312,2011
73,We Bought a Zoo,12/23/2011,20th Century Fox,Drama,44490999,5610466,2011
74,Soul Surfer,4/8/2011,Sony Pictures,Drama,43853424,5530066,2011
75,Final Destination 5,8/12/2011,Warner Bros.,Horror,42587643,5370447,2011
76,The Ides of March,10/7/2011,Sony Pictures,Drama,40825612,5148248,2011
77,Tron: Legacy,12/17/2010,Walt Disney,Adventure,40757919,5139712,2011
78,War Horse,12/25/2011,Walt Disney,Drama,40451772,5101106,2011
79,The Descendants,11/16/2011,Fox Searchlight,Drama,40315665,5083943,2011
80,Hanna,4/8/2011,Focus Features,Drama,40259119,5076811,2011
